group	d__Archaea;p__Crenarchaeota	d__Archaea;p__Euryarchaeota	d__Archaea;p__Halobacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Deferribacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__FCPU426	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__MBNT15	d__Bacteria;p__Myxococcota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__RCP2-54	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Verrucomicrobiota	
Sample_from_Seed	0.0	0.0	0.0	0.0	0.0	83.33333333333333	0.0	16.666666666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.666666666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	
Sample_from_Grown plant	55.0	5.0	10.0	30.0	95.0	100.0	85.0	100.0	100.0	100.0	5.0	40.0	45.0	100.0	75.0	50.0	50.0	55.0	100.0	10.0	95.0	5.0	100.0	25.0	100.0	90.0	100.0	5.0	35.0	80.0	95.0	
