# Constructed from biom file
#OTU ID	C-1-Cistus	C-11-AND-PL-31-Cistus	C-14-AND-PL-41-Cistus	C-15-AND-PL-44-Cistus	C-16-AND-PL-47-Cistus	C-2-Cistus	C-20-AND-PL-59-Cistus	C-23-BAD-PL-68-Cistus	C-24-BAD-PL-71-Cistus	C-25-BAD-PL-74-Cistus	C-28-BAD-PL-83-Cistus	C-3-Cistus	C-30-BAD-PL-89-Cistus	T120-1-Cistus	T120-11-AND-PL-214-Cistus	T120-12-AND-PL-217-Cistus	T120-16-AND-2-PL-229-Cistus	T120-19-AND-PL-238-Cistus	T120-2-Cistus	T120-21-BAD-PL-245-Cistus	T120-25-BAD-PL-257-Cistus	T120-28-BAD-PL-266-Cistus	T120-3-Cistus	T120-4-VALD-PL-192-Cistus	T120-6-VALD-PL-198-Cistus	T120-8-VALD-3-PL-205-Cistus
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__uncultured;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus_Koribacter;__	0.0	0.0	7.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	99.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__uncultured;__	0.0	0.0	0.0	0.0	31.0	0.0	0.0	17.0	136.0	0.0	0.0	0.0	17.0	0.0	20.0	0.0	9.0	17.0	0.0	0.0	9.0	9.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;__	0.0	0.0	20.0	0.0	22.0	0.0	0.0	19.0	0.0	0.0	20.0	0.0	0.0	0.0	6.0	25.0	9.0	7.0	0.0	35.0	0.0	9.0	0.0	28.0	8.0	56.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter;__	0.0	0.0	0.0	0.0	95.0	0.0	0.0	14.0	0.0	0.0	8.0	0.0	0.0	0.0	12.0	39.0	0.0	15.0	0.0	65.0	0.0	10.0	0.0	0.0	2.0	41.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;__;__;__;__	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	15.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24;g__11-24;s__uncultured_bacterium	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;__;__	0.0	0.0	116.0	0.0	99.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	17.0	0.0	2.0	26.0	18.0	0.0	0.0	0.0	0.0	11.0	0.0	20.0	0.0	630.0
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
